arabidopsis thaliana	http://purl.uniprot.org/taxonomy/3702
caenorhabditis elegans	http://purl.uniprot.org/taxonomy/6239
drosophila melanogaster	http://purl.uniprot.org/taxonomy/7227
escherichia coli	http://purl.uniprot.org/taxonomy/562
homo sapiens	http://purl.uniprot.org/taxonomy/9606
mus musculus	http://purl.uniprot.org/taxonomy/10090
saccharomyces cerevisiae	http://purl.uniprot.org/taxonomy/4932
