|ESPI	|TOPBP1	0		0	
|PTKA	|SHMT2	0		0	
|PTKA	|UBE2N	0		0	
|PTKA	|NFS1	0		0	
|ESPI	|APH1A	0		0	
|ESPI	|SNAPIN	0		0	
|ESXB	|DCAF15	0		0	
|PKNB	|GRK5	0		1	4417171
|GLMM	|HSPA4	0		1	8408311
|ESPI	|SPRED3	0		0	
|ESPI	|CENPC	0		0	
|GLMM	|CTNNA1	0		0	
|ESPI	|GRK5	0		0	
|ESPI	|HSPB11	0		0	
|ESPI	|VCAM1	0		1	7480431
|GLMM	|HLA-DRA	0		5	5883106,8408311,6777611,7445463,6796246
|PTKA	|ITGAV	0		0	
|ESPI	|SUOX	0		0	
|PKNB	|RHOT1	0		0	
|PKNB	|SETD1A	0		0	
|ESPI	|WASF1	0		0	
|GLMM	|WIPF1	0		0	
|ESPI	|YWHAG	0		0	
|ESPI	|SHOC2	0		0	
|ESPI	|BIRC3	0		0	
|ESPI	|SHH	0		3	7480431,8123387,4294642
|ESPI	|UBE2M	0		0	
|ESPI	|GNA11	0		0	
|ESPI	|GNAI3	0		0	
|GLMM	|ABL2	0		1	8646091
|PTKA	|HSPA2	0		0	
|ESPI	|TYK2	0		0	
|PTKA	|TP73	0		0	
|PKNB	|MET	0		20	7164672,8537086,8541300,5845002,5562987,3600029,4242435,1176007,3187401,4609546,7831053,3664666,5062980,5741517,4483258,5851622,5738738,3867987,4040921,2662310
|ESPI	|EIF3A	0		0	
|ESPI	|BMP4	0		0	
|PTKA	|THY1	0		0	
|ESPI	|ARNTL	0		0	
|PKNB	|FLT3	0		2	8375298,6779124
|GLMM	|TH	7	29071652,30474216,28315809,27435730,31126543,27175671,31837922	20	7735370,5462837,4379931,6813794,7202553,6335563,8057419,4659487,6659233,8221710,4217193,8028747,4902513,4386098,4447754,8892362,8293549,6470399,6889532,6929335
|ESPI	|NCOA2	0		0	
|ESPI	|ICOSLG	0		0	
|ESPI	|FLOT1	0		2	7480431,8123387
