Q7D4P3|Q9UBB1	ESPI|SPR
Q7D4P3|Q9UNA8	ESPI|BECN1
Q10516|Q9P152	PTKA|AHSG
Q7D4P3|Q99842	ESPI|NFATC3
Q7D4P3|Q6LD15	ESPI|ITGAV
Q10516|Q9UC57	PTKA|FCN2
Q10516|Q9Y6J0	PTKA|CABIN1
Q7D4P3|Q9UCX5	ESPI|SHC3
Q7D4P3|Q6ICQ7	ESPI|MNAT1
Q7D4P3|Q8N173	ESPI|CDH2
Q7D5J3|Q16027	GLMM|RASGRF1
Q10516|Q9P2C2	PTKA|DMAP1
Q7D4P3|Q15405	ESPI|EPHA1
Q10516|Q9UDC2	PTKA|RPS15
P9WI81|Q9BW83	PKNB|IFT27
Q7D4P3|Q9P082	ESPI|BRK1
Q10516|Q9BVZ0	PTKA|RPS9
Q10516|Q8TDK9	PTKA|FOXO4
I6WXK4|H9KV45	PTPB|UBE2D3
P9WI81|P52564	PKNB|MAP2K6
Q7D4P3|Q6DK23	ESPI|SMAD7
Q10516|Q5M8S9	PTKA|RPS20
Q7D4P3|Q9Y6U3	ESPI|SCIN
Q7D4P3|Q8N422	ESPI|PRKAR1B
Q7D4P5|O43739	ECCCB1|CYTH3
Q7D5J3|J3QS46	GLMM|ANAPC11
Q7D4P3|Q96G29	ESPI|FDPS
P9WI81|Q6ZT57	PKNB|ANKRD28
Q10516|Q96C16	PTKA|EIF4G2
Q7D4P3|Q6UWL3	ESPI|ADAMTS12
Q10516|Q9NT88	PTKA|NEDD4L
Q10516|Q92768	PTKA|E2F1
Q10516|Q8N679	PTKA|MCF2L
Q7D4P3|Q9UFF4	ESPI|OTUD7B
Q7D4P3|Q8N721	ESPI|ERCC2
Q7D4P3|Q96I38	ESPI|EEF1D
Q7D5J3|P07478	GLMM|PRSS2
Q10516|Q6FHA2	PTKA|SOD3
P9WI81|Q9BTT1	PKNB|ELAVL1
Q10516|Q8IVR6	PTKA|PPM1D
Q7D4P3|Q9Y6K9	ESPI|IKBKG
Q10516|Q8NE16	PTKA|SEC23A
Q7D5J3|Q9CY33	GLMM|TUBB
Q7D4P3|Q9NZ06	ESPI|PRMT1
P9WI81|P43405	PKNB|SYK
Q7D4P5|Q9NRH9	ECCCB1|PRKACA
P9WI81|Q9UIT9	PKNB|MYLK
Q10516|Q9BTK8	PTKA|ARRB1
Q7D4P3|Q9NSL1	ESPI|NUP62
Q7D4P3|Q13904	ESPI|C2
Q7D4P3|Q96HF9	ESPI|TTC5
Q7D5J3|Q96SI8	GLMM|AP2A2
Q7D5J3|Q96J22	GLMM|USP5
Q7D4P3|P49674	ESPI|CSNK1E
Q7D4P3|Q6PB27	ESPI|RPL12
P9WI81|Q6LES0	PKNB|RAP1B
Q10516|Q8N5L4	PTKA|PDGFRB
Q7D4P3|Q9XRX2	ESPI|HLA-DMB
Q7D4P3|Q53XV2	ESPI|PPP5C
Q10516|P62249	PTKA|RPS16
Q7D4P3|Q9UDI2	ESPI|CDC42
Q7D4P3|Q92885	ESPI|TANK
Q10516|Q9UHL1	PTKA|MED6
Q7D4P3|Q9UKK8	ESPI|DLG4
Q10516|Q2I102	PTKA|CFTR
Q7D4P3|Q96EM8	ESPI|P2RY2
I6WXK4|Q9Y6F4	PTPB|CAMK2B
P9WI81|Q9HBC0	PKNB|TRPV4
Q7D4P3|Q9NRG0	ESPI|CHRAC1
Q7D4P3|Q9BXR6	ESPI|CFHR5
Q7D4P5|Q5M8S9	ECCCB1|RPS20
P9WI81|Q9UQN5	PKNB|ROCK2
Q10516|Q9UDL4	PTKA|STAT2
Q10516|Q9UKP4	PTKA|ADAMTS7
Q7D4P3|Q9BWY3	ESPI|WDR77
P9WI81|Q96J22	PKNB|USP5
P9WI81|P62834	PKNB|RAP1A
Q7D4P3|Q9HCB6	ESPI|SPON1
Q7D5J3|Q9UH94	GLMM|PREB
Q7D5J3|Q6LES0	GLMM|RAP1B
Q7D4P3|A6NFM0	ESPI|POLR2J2
Q10516|Q96BA0	PTKA|CASP7
Q7D4P5|Q9NTK6	ECCCB1|HSP90AB1
Q7D4P3|Q96HA5	ESPI|ITGA5
Q7D5J3|Q9BST0	GLMM|CHAMP1
P9WI81|Q9UFU0	PKNB|LIMK2
Q10516|Q92759	PTKA|GTF2H4
Q7D4P3|Q9UEB9	ESPI|TOPBP1
Q10516|Q8N1A5	PTKA|SHMT2
Q10516|Q53Y81	PTKA|UBE2N
Q10516|Q9Y697	PTKA|NFS1
Q7D4P3|Q9Y386	ESPI|APH1A
Q7D4P3|Q5SXU8	ESPI|SNAPIN
P9WNK5|Q9BU31	ESXB|DCAF15
P9WI81|Q5T059	PKNB|GRK5
Q7D5J3|Q9BUK9	GLMM|HSPA4
Q7D4P3|Q2MJR1	ESPI|SPRED3
Q7D4P3|Q9P0M5	ESPI|CENPC
Q7D5J3|Q8N1C0	GLMM|CTNNA1
Q7D4P3|Q5T059	ESPI|GRK5
Q7D4P3|Q9Y684	ESPI|HSPB11
Q7D4P3|Q6NUP8	ESPI|VCAM1
Q7D5J3|Q9TP70	GLMM|HLA-DRA
Q10516|Q6LD15	PTKA|ITGAV
Q7D4P3|P51687	ESPI|SUOX
P9WI81|Q9NUZ2	PKNB|RHOT1
P9WI81|Q8TAJ6	PKNB|SETD1A
Q7D4P3|Q92558	ESPI|WASF1
Q7D5J3|Q9UNP1	GLMM|WIPF1
Q7D4P3|Q9UN99	ESPI|YWHAG
Q7D4P3|Q9UQ13	ESPI|SHOC2
Q7D4P3|Q9UP46	ESPI|BIRC3
Q7D4P3|Q75MC9	ESPI|SHH
Q7D4P3|Q8VC50	ESPI|UBE2M
Q7D4P3|Q6IB00	ESPI|GNA11
Q7D4P3|Q5TZX1	ESPI|GNAI3
Q7D5J3|Q7Z301	GLMM|ABL2
Q10516|Q9UE78	PTKA|HSPA2
Q7D4P3|Q96CH0	ESPI|TYK2
Q10516|Q9NTK8	PTKA|TP73
P9WI81|Q9UPL8	PKNB|MET
Q7D4P3|Q15778	ESPI|EIF3A
Q7D4P3|Q9UM80	ESPI|BMP4
Q10516|Q9NSP1	PTKA|THY1
Q7D4P3|Q99649	ESPI|ARNTL
P9WI81|Q13414	PKNB|FLT3
Q7D5J3|Q2M3B4	GLMM|TH
Q7D4P3|Q15596	ESPI|NCOA2
Q7D4P3|Q9NRQ1	ESPI|ICOSLG
Q7D4P3|Q9UNV8	ESPI|FLOT1
Q7D4P3|Q969S4	ESPI|PRKCZ
Q7D4P3|Q8WWQ6	ESPI|F5
Q7D4P5|Q6ICP8	ECCCB1|S100A4
Q10516|Q9UE83	PTKA|MYB
P9WI81|Q6LER8	PKNB|CCNA2
Q7D4P3|P02708	ESPI|CHRNA1
Q10516|Q93042	PTKA|APC
Q7D4P3|Q9UQD6	ESPI|BAX
Q7D4P3|Q504W0	ESPI|TLR3
Q10516|Q9BQC5	PTKA|NONO
Q7D5J3|Q6FGX6	GLMM|CLEC3B
Q7D4P3|Q07889	ESPI|SOS1
Q7D5J3|Q9Y684	GLMM|HSPB11
Q7D4P3|Q9UCC6	ESPI|PTN
Q10516|Q96HD7	PTKA|PTPN11
Q7D4P3|Q6IBU8	ESPI|NR4A1
Q7D5J3|Q9P2G8	GLMM|PACSIN1
Q7D4P3|Q9H001	ESPI|ETHE1
Q7D4P3|Q9UII1	ESPI|ZNF274
Q7D4P3|Q9P279	ESPI|WDR48
Q7D5J3|Q9BW17	GLMM|DCTN2
Q7D4P3|Q92479	ESPI|RUNX1
Q7D4P3|Q96AF6	ESPI|IVD
Q10516|Q17RZ2	PTKA|LRP6
Q7D4P3|Q8IYW3	ESPI|SHC4
Q10516|P62851	PTKA|RPS25
Q10516|Q92532	PTKA|PCSK1
Q10516|Q96RW5	PTKA|BIRC8
Q7D4P3|Q9NUC9	ESPI|ZBTB17
Q7D4P3|Q04917	ESPI|YWHAH
Q7D4P3|Q6IBD4	ESPI|POLR2K
P9WI81|Q86W08	PKNB|FLT4
Q10516|P41182	PTKA|BCL6
Q10516|Q5TZY3	PTKA|GSTP1
Q10516|Q6P1N3	PTKA|RBPJ
Q7D4P3|Q9H472	ESPI|NFKB2
Q7D4P3|Q96RW5	ESPI|BIRC8
Q7D4P3|Q9Y3W0	ESPI|NELFB
Q7D4P3|Q6PIE6	ESPI|MAP2K4
Q10516|Q9NZ42	PTKA|PSENEN
Q10516|Q969T5	PTKA|PLCG2
Q7D4P3|Q9UE68	ESPI|IL1R2
Q10516|Q9P2Z3	PTKA|SOD2
Q7D4P3|X5D9C8	ESPI|STK39
Q7D4P3|Q6PKG5	ESPI|PCBP2
Q7D4P5|Q9NYB3	ECCCB1|CASK
Q10516|Q9Y317	PTKA|MRPL4
P9WI81|Q9UN34	PKNB|MARK3
Q10516|Q9P234	PTKA|SH3RF1
Q7D4P3|P12004	ESPI|PCNA
Q7D4P3|Q9UNM5	ESPI|DYRK1A
Q10516|Q9UDG5	PTKA|TXN
Q10516|Q45F09	PTKA|ABL1
P9WI81|Q8TC35	PKNB|CNTN4
Q7D4P3|Q13414	ESPI|FLT3
Q7D4P5|Q9Y4K4	ECCCB1|MAP4K5
Q10516|Q9NZN5	PTKA|ARHGEF12
Q10516|Q8N173	PTKA|CDH2
P9WI81|Q68DZ3	PKNB|ILK
Q7D4P3|Q9UQE9	ESPI|CAMK2D
Q7D4P3|Q14520	ESPI|HABP2
Q10516|P46934	PTKA|NEDD4
Q10516|Q9NSL8	PTKA|HJURP
Q10516|Q9NUI0	PTKA|RAB11FIP3
Q7D4P3|P78560	ESPI|CRADD
