	P20432	14605208
P20432		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P20353		14605208
Q24260		14605208
		14605208
		14605208
P53501		14605208
P53501	P49905	14605208
Q24154		14605208
P53501		14605208
P53501		14605208
P53501		14605208
	P53501	14605208
P48601	P53501	14605208
	P53501	14605208
	P53501	14605208
		14605208
		14605208
		14605208
	P18491	14605208
	P18491	14605208
P18491		14605208
	Q24154	14605208
Q24154		14605208
Q24154		14605208
		14605208
	Q9U1K1	14605208
Q9U1K1		14605208
Q9U1K1		14605208
Q9U1K1	P92208	14605208
	Q9U1K1	14605208
Q9U1K1	Q9VHS2	14605208
Q9U1K1		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P52485		14605208
		14605208
		14605208
	P49905	14605208
Q94524		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q94511	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P04412		14605208
	P07181	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q95RR8	14605208
		14605208
P02828		14605208
Q8T3Y0		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	P84051	14605208
	P22769	14605208
		14605208
	Q9VK58	14605208
	Q9VCE6	14605208
		14605208
		14605208
Q06559		14605208
		14605208
		14605208
		14605208
		14605208
P21461		14605208
Q24152		14605208
		14605208
		14605208
		14605208
P18459		14605208
	P18459	14605208
	P18459	14605208
	P18459	14605208
	P18459	14605208
P18459		14605208
P18459	Q24141	14605208
	P18459	14605208
P18459		14605208
	P18459	14605208
P18459		14605208
P18459		14605208
P18459	P05084	14605208
		14605208
		14605208
	P15330	14605208
		14605208
P18459		14605208
Q9VRX6		14605208
		14605208
P17886		14605208
P19018		14605208
P19018		14605208
	P19018	14605208
P19018		14605208
P19018		14605208
P15330		14605208
		14605208
	P00528	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q9VG55	14605208
		14605208
		14605208
		14605208
Q8T965		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	P35415	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q01644		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q8INW0		14605208
	P13008	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P31409		14605208
		14605208
		14605208
	O17445	14605208
	P06002	14605208
	O16797	14605208
Q94920		14605208
		14605208
		14605208
		14605208
Q24239		14605208
		14605208
Q9W4V8		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q9W5R5		14605208
P13395		14605208
		14605208
O96860		14605208
		14605208
Q24260		14605208
	Q24260	14605208
Q24260		14605208
Q24260		14605208
	Q24260	14605208
	Q24260	14605208
Q24260		14605208
