P77380|Q8WW75	CUSR|CRP
P0A9P5|Q5T1S7	TRXB|PPP6C
Q8XE87|Q9Y4Y7	THIL|PHC2
P0A6Z0|Q6LD15	DNAK|ITGAV
Q8XE76|Q99556	DXS|DHX9
A0A0H3JH37|Q96PN5	GLTB|MEFV
P0A6Z0|Q9BW54	DNAK|STAT3
Q9S6R3|Q5T1S7	ESPP|PPP6C
Q8XE58|H9KV45	CCMA|UBE2D3
P63285|O60884	CLPB|DNAJA2
A0A0H3JH37|Q6ICQ7	GLTB|MNAT1
Q8XE87|Q99743	THIL|NPAS2
P24236|F8W876	NUDB|MASP1
Q8XE87|Q8TBI9	THIL|PPP2R5A
P77380|Q99649	CUSR|ARNTL
P0A6Z0|Q9BQF0	DNAK|IRF5
P0A6Z0|Q7Z3U4	DNAK|TP53BP1
P0A6Z0|Q9ULE9	DNAK|MAVS
P24236|Q9Y6T3	NUDB|BRAF
P62625|Q96II4	ISPH|ELOF1
P0A6Z0|Q96RJ1	DNAK|TRIP10
Q8X8Y6|Q8TDX0	GLND|MAPK14
Q8X6Y0|Q9UDC1	THIE|FNTA
Q8X8Y1|Q9BUT4	DXR|CDKN1A
Q8X9G2|Q8NC92	KDPE|RGMB
Q8X8I2|Q8N5V4	FADB|CPN2
Q8X6Y0|Q96G29	THIE|FDPS
Q8XB76|Q92794	YEDW|KAT6A
Q8X6Y0|Q5VW80	THIE|GOT1
P0A6Z0|O95396	DNAK|MOCS3
P0A6Z0|Q99615	DNAK|DNAJC7
Q8X7Y4|Q96GT0	ISPD|FDFT1
Q46903|Q9UC56	QUED|HSPA9
P0A6Z0|Q8WWI9	DNAK|TNFAIP6
Q8XE76|Q8TE60	DXS|ADAMTS18
A0A0H3JH37|J3QS46	GLTB|ANAPC11
P62618|Q9UCA1	ISPF|F2
P24236|Q9UGA4	NUDB|GNAI1
Q8X8Y6|Q52LW0	GLND|NCKAP1L
Q8XE75|Q9UNY7	ISPA|EED
P24236|Q9UQD1	NUDB|SIRT6
P77380|P36507	CUSR|MAP2K2
Q46903|Q96RW5	QUED|BIRC8
Q8X6Z5|O95396	GLPE|MOCS3
Q8XE87|Q6NXQ1	THIL|PDHA2
