|ISPF	|TYR	0		11	5020098,3466564,3858459,8844926,2874528,8179877,3291262,5459977,5116877,5961758,2941759
|ISPH	|POLR3K	0		0	
|RSTA	|GPN3	0		0	
|DNAK	|PACSIN1	0		3	2780292,4036276,1472619
|DXS	|GSPT2	0		0	
|ISPH	|SEC24C	0		0	
|FOLB	|GOT1L1	0		0	
|OMPR	|EEF1D	0		0	
|DNAK	|DROSHA	0		4	8017856,6180196,6311387,3328962
|QUED	|IL10	0		1	7771511
|THIL	|ITGAX	0		0	
|DXS	|GAK	0		0	
|CUSR	|CRP	0		13	8249747,5068291,5514714,5064937,4797297,8910356,3411108,8567008,4488371,4462101,7020829,3869425,2895633
|TRXB	|PPP6C	0		0	
|THIL	|PHC2	0		0	
|DNAK	|ITGAV	0		0	
|DXS	|DHX9	0		0	
|GLTB	|MEFV	0		0	
|DNAK	|STAT3	1	30154416	20	6953433,6113260,7206024,6629921,8927758,7871384,7730953,7563255,8909019,4242626,5722834,7911927,3929033,8229282,6927284,3095899,7069348,8241919,9036991,3670260
|ESPP	|PPP6C	0		0	
|CCMA	|UBE2D3	0		0	
|CLPB	|DNAJA2	0		19	5542770,5150378,4570866,3492728,6369304,6882752,8384840,2939168,8530975,6952786,2997345,6747476,4598581,5608759,5186407,4830470,7205035,8534776,4201613
|GLTB	|MNAT1	0		0	
|THIL	|NPAS2	0		0	
|NUDB	|MASP1	0		0	
|THIL	|PPP2R5A	0		0	
|CUSR	|ARNTL	0		0	
|DNAK	|IRF5	0		4	5650615,4815418,3288567,3166974
|DNAK	|TP53BP1	0		2	4707198,3809393
|DNAK	|MAVS	0		15	5314882,7356129,6281791,7735679,3826451,3750612,8426249,8047325,7610904,3812158,3826837,3940038,8017856,6771073,3278987
|NUDB	|BRAF	0		1	6591011
|ISPH	|ELOF1	0		0	
|DNAK	|TRIP10	0		0	
|GLND	|MAPK14	0		0	
|THIE	|FNTA	0		0	
|DXR	|CDKN1A	0		19	3753631,4287438,3760869,7498329,7144521,5649527,6144829,5053661,4227948,5457717,5308678,6413431,7664178,8927338,4225545,1871956,8046396,7085400,5190063
|KDPE	|RGMB	0		0	
|FADB	|CPN2	0		0	
|THIE	|FDPS	0		1	2011116
|YEDW	|KAT6A	0		0	
|THIE	|GOT1	0		0	
|DNAK	|MOCS3	0		2	3082918,4366362
