P24174	P0AC47
P45548	P76466
P55798	P0A9E9
P06992	P08839
P76372	P03841
P64624	P0AAD6
P0AFB5	P0A9T8
P0ABD8	P0ABH0
P0AFN6	P76576
P0A6Z3	P06993
P23886	P0AG00
P63386	P33920
P45524	P33997
P0AAB8	P26266
P46474	P26648
P56100	P75914
P0AEX5	P0ADR6
P0A6K1	P77493
P0C058	P0AD10
P10408	P45759
P0ACB7	P0AAX8
P08192	P0ACF8
P60785	P31548
P0ADI9	P0A8R4
P77616	P24202
P0AF93	P26647
P0AAP7	P33634
P69776	P07363
P0ACC9	P0AAB6
P77337	P37182
P77179	P15288
P0AF67	P69222
P39453	P0ACM9
P75851	P0A8H6
P04391	P35340
P37353	P38521
P64545	P0AEY8
P0AFB8	P33013
P46474	P76100
P0AC53	P76469
P0AC23	P63284
P76041	P52106
P62707	P0A731
P0ACR9	P06966
P0AA63	P0ABN9
P0A917	P76539
P0AC28	P0AFF6
P25889	P77522
P32134	P07018
P76473	P52697
P0AEQ6	P05793
P39293	P32134
P76104	P76418
P37001	P06722
P0AED7	P03004
P45570	P0AEH8
P0AB20	P0DMC9
P64432	P0AD03
P76114	P31449
P23869	P0A7X3
P27127	P29745
P68688	P76938
P52094	P08394
P37657	P77657
P75931	P30149
P0AG30	P0A7B3
P39364	P76192
P52044	P77721
P0AFW8	P39173
P0AFP4	P39333
P0AF50	P0ADU2
P77399	P0ABD5
P37662	P75974
P75817	P11875
P75691	P76558
P37330	P0AEW4
P15639	P75958
P0ACR4	P0AD07
P76186	P0AAY6
P76561	P16692
P0A6A3	P39838
P02932	P39264
P75884	P0AF73
P75800	P76421
Q46939	P77569
P77427	P02929
P0AFW4	P21645
P52101	P76500
P77739	P15034
P0A9X4	P45394
P0AF28	P10151
P26649	P52006
P00509	P37340
P46837	P76256
P0AFM9	P32689
P0CF07	P52107
P0A7J0	P0ABN1
P31545	P0AAM1
P0AFI7	P62395
P0ADM4	P64459
P15006	P52138
P0AAB6	P0A6S7
P0AED9	P06961
P07364	P75783
P60566	P27306
P0AAN1	P32134
