P01730	P01730	9168119
Q62311	P21675	7667268
P29375	P06400	8414517 22615382
P20226	P09086	8202368
P22681	P46108	9178909
P27986	P06213	7589433
P31946	P04049	7935795
Q08999	P15172	9121766
	P48061	8976200
P17095	P17947	7594592
Q08945	P17947	7594592
Q9DH70	P04637	8344494
P25490	Q09472	9199306
Q92793	P36956	16799563 8918891
P15923	Q04650	9199284
P15923	P15172	9184158
P15884	Q02535	8999959
P32561	P25490	8917507
P00519	Q13315	9168117
P39958	P20338	9184135
P35609	P35439	9009191
P02593	P35609	9009191
Q15172	P31314	9009195
Q15172	Q94818	9201974
P15172	P15172	9184158
P18428	P08571	2402637
P04273	P10809	8676499
P10415	P10415	9144199
P10415	Q07812	18981409
P13501		8976200
Q15628	P19438	9129204 23955153 19641494
P39429	P19438	9129204
Q91407	P08138	9204927
Q91407	P20783	7972023
P52583	P62993	1322798
P29466	P01584	8999548 19439663
P70380	P01579	8999548
P70380	P29466	8999548
P42574	P70380	8999548
P32239	P01350	8824290
P01350	P35570	8824290
P43405	Q15349	9218456
	P07996	9169439
Q62622	P06730	7939721
Q60431	P36956	8643593
Q12772	Q60431	8643593
P42574	P09874	7596430
Q00987	P04637	7926727 10321734 17470788 11278372 18172499 19234109 21857681 24207125 12529318 10608892 8875929 17438265 19255450 9529249 16432196 17080083 11070080 11223036 18316739 24667498 20173098
P14859	Q64693	8530384
P09086	Q64693	8530384
P42345	P20071	7539137
Q99075	P00587	9659904
Q16514	Q16514	8598932
Q16514	P02304	8598932
Q16594	P02304	8598932
P06899	Q62311	8598932
Q16695	Q62311	8598932
P46677	P20226	7935765
P21675	P20226	rtd:7680771 7680771
P11277	P02549	8226774
Q16594	Q62311	7667268
Q62311	Q16514	7667268
Q62311	P20226	7667268
Q62311	P29083	7667268
Q16594	P49848	7597030 23292512
Q00403	Q16594	7597030
Q15572	P20226	7801130
P08047	Q00403	7824954
Q00403	P25490	7824954
P04637	Q27272	7809597
Q16594	P04637	11278372 7809597
P49848	P04637	7809597
P47825	P08047	8278363
P08047	P25490	8327494
P18846	P03254	8139685
P03254	P15336	8139685
P03254	P18847	8139685
P45984	P03254	8139685
P03254	P06400	8139685 23783631
P06400	P32519	8493578
P06400	P03129	8493578
P03130	P06400	8380462
P06400	P29374	8414517
Q13029	P06400	7538672
Q63755	P06400	7538672
Q15544	Q15543	7729427
P20226	Q15544	7729427
Q15543	P20226	7729427
Q12962	Q15543	7729427 23292512
Q16514	P20226	7729427
Q16514	Q15544	7729427
Q12962	Q16514	7729427
P08752	Q08462	9252377
P06127	Q8NEB9	9079809
P06127	Q00839	9079809
P06239	P06127	7513045
P01112	Q13671	9144171 24441586
Q13671	P42655	9144171
P42684	Q13671	9144171
P42768	P16333	7565724
Q61036	P60953-2	9033409
	P09759	8798570
P29317	P20827	8139691 20505120 22244754
Q15628	P39429	8565075
Q15628	Q13158	23955153 8565075
Q13158	P25445	20935634 19118384 7538907 21713032 26942442
P39429	P20333	8069916
P00533	Q13596	8638121
Q13546	P25445	7538908
P25445	P25445	7538908
Q13546	P19438	7538908
Q13546	Q15628	8612133
Q13546	P39429	8702708
P14778	P51617	8599092
P27797	P13747	9427624
P21856	P20339	9427626
P14859	P20226	8202368
P09086	P13393	8202368
P30681	P09086	7720710
P14859	P30681	7720710
P30681	Q03052	7720710
	P14859	8001121
P09661	Q12874	8211112
P21372	P09661	8969184
P22681	P05783	9367879
Q12965	P22681	9367879
P22681	P15498	9200440
P62993	P22681	8950973
P27986	P22681	9178909
Q61337		9324938 17941720
Q61598	P20339	7782346
Q61598	P62820	7782346
Q61598	P61019	7782346
P20338	Q61598	7782346
Q62145	P20339	7782346
P35568	P06213	7935368 17167487
	P10415	7937747
P10085	P15923	8383120
P41136	P15923	8383120
P19335	P15923	1311321
P15923	P20428	1311321
P04899	P81274	7589456
P08069	P29353	7559507
P08069	P35570	7559507
P29353	P06213	7559507
P08069	P27986	7589433
P68511	P15056	8668348
P68255	P15056	8668348
P63102	P15056	8668348
P04049	P68511	8668348
P04049	P68255	8668348
P15056	P31938	8668348
P01112	P15056	26165597 24441586 8668348
P63102	P04049	9261098
P01112	P04049	25684575 18073111 24929361 9261098 20133694 20080631
P14598	P19878	8676437
P30304	P31946	7644510
P30304	P42655	7644510
P31946	P30305	7644510
Q6FHM2	P04049	7782277
P63104	P04049	7935795
P04049	P02340	7784054
Q06124	Q14451	8622870
Q14205	Q13424	8612778
Q13424	Q91493	8576247
Q14205	Q13884	7844150
Q13884	P46939	7844150
Q13884	Q91493	7844150
P05067	P05067	9889152 20212142 8700886 21113149 24462250
P02593	P17677	8872303
Q01094	Q08639	8405995
Q14209	Q14186	8657117 7739537
Q14188	Q14209	7739537
Q14209	P06400	7739537 8657117
Q09472	P04637	19217391 19234109 17438265 11070080 18391200 25651062 26302407
P06400	P21675	7724524
Q92793	P10243	9210395
P10415	Q07820	7937747
P08047	P03254	8139685
P03254	P21675	7565781
P09759	P62993	8798570
	Q16611	9362454
P30305	P42655	7644510
P19438	P19438	22801493 8077196
P15056	Q63932	8668348
	Q16594	7597030
	Q07812	18981409 18547146
Q92793	P16220	16799563 7913207
P17947	P49716	7594592
P19438	Q13158	9129204
P62993	P00533	1322798
P21675	Q24325	8178153
P21675	P23255	8178153
Q62311	P35269	7667268
P03254	P22415	8139685
P13747	Q03519	9427624
P62993	P10721	8950973
P46939	Q13424	8576247
P11831	P35269	7854423
	Q07820	7937747
Q08639	P06400	rtd:1830372 1830372
P15924	P20152	9261168
P15924	P13647	7525601
P08631	Q03405	9417082
P63211	P16520	8636150
P19793	P34021	7644522
Q13889	P19447	8652557
P05556	P56199	8846021
P10809	P08107	8776728
Q16667	P06493	8242750
Q62120	P04049	8876196
P32927	P04141	7957082 1702217
P17301	P05556	8846021
P07269	P20226	9354395
Q14186	P06400	7739537
Q14186	P28749	7739537
P06400	Q14188	7739537
Q14188	P28749	7739537
P30309	Q96Q89	8703070
P07948	P22681	9160881
P31001	P15924	9261168
Q64507	P15924	9261168
P15924	P05787	9261168
P20152	P05783	8576158
P05787	P05783	8576158
P15923	P15173	1325437
P12931	P20248	8479754
P12931	P24385	8479754
P61024	P24385	8479754
P24385	P06493	8479754
P24385	P24941	8479754
P24941	P20248	24358021 10559988 7630397 10930425
P11802	Q96TE0	8822197
Q00534	Q96TE0	8822197
Q00534	P06400	8822197
P11802	P30279	9325318
P30279	Q96TE0	9325318
P20226	P05412	7685215
P11166	P27824	8662691
P11166	P27797	8662691
