id_pmc	sentence location	highlighted phrase	interacting verbs	number of interacting verbs	experimental methods found	number of experimental methods	protein entities found	number of protein entities
8749688	body	when considering advertised species , the results were almost identical ( whole glmm model , f7,96 = 771.8 , vertebrate class , f4,96 = 768.9 , conservation status , f1,96 = 1135.5 , interaction term , f2,96 = 232.4 , all p & lt ; 0.001 ) .	interact	1		0	glmm|f7,96|f7|f4|f1|f2	6
8749688	body	considering the advertised species , results were once again almost identical ( whole glmm model , f7,103 = 1545.8 , vertebrate class , f4,103 = 1865.4 , conservation status , f1,103 = 579.9 , interaction term , f2,103 = 70.8 , all p & lt ; 0.001 ) .	interact	1		0	glmm|f7,103|f7|f4|f1|f2	6
