Q3UZD7	Q9WUG6
Q99JT5	Q61072
Q9JJK5	Q8R527
Q7TMC9	Q9Z172
Q9CXL1	Q8R4E9
Q99KC7	O35130
Q9DCC8	Q9CPU2
Q8K2Z4	Q9WTK8
O35182	E9Q6R7
Q9EQF2	E9PZQ0
Q6PHZ2	Q925I4
Q80T69	O35491
Q9D4C9	P33175
Q02357	Q60780
Q6P4P1	Q8K0D2
Q6PGB8	Q64302
Q8BLV3	B1AYB6
Q9EQI8	Q3UVY1
P21761	Q8VHV1
P70677	Q61656
Q7TQK0	P27577
P10126	O35696
A2AV41	Q8R293
Q5F285	Q60930
O35627	Q64726
Q9DCA5	Q9EQI8
Q8BMJ7	A2AFH2
Q921D9	Q9QYC3
P60469	Q8BG02
P18242	Q3MI99
E9Q7L6	Q8R0F5
Q9Z2Y3	Q8VDC0
Q8K010	Q8K0Z7
Q8BU33	Q6PEB4
Q5SWZ9	P62881
Q9R0Q7	Q8BH00
Q9WV60	P12850
Q8R4K2	Q9DC58
A2AVJ5	P97378
Q68FG1	Q9EQ28
P01325	Q69AB2
P62071	Q61161
O35655	A2AQP0
Q9JKP5	P33175
Q9D6V8	O70333
Q6GQU6	Q91VC3
Q8K2V1	Q9DAD6
P63239	O55143
P13379	P51675
Q8K4B0	Q3UCQ1
O35723	Q9CQ28
P63168	Q8CI94
P52482	E9Q166
P81122	P18762
P62746	Q8BVR5
A2AW65	Q99JF8
Q8BWA8	Q3U4B1
Q9D8M4	Q01320
E9Q3E1	Q9WUA6
P12658	Q8CGV2
P97493	E9PY39
Q9CXF7	Q921J4
Q6NXM2	Q08943
Q8VH31	Q8C767
Q8BG31	Q62414
Q9JLY7	Q8C6A8
P58355	Q3UMM4
P45377	P45700
Q91WC9	Q3UW68
P97348	Q8BUG2
Q5SUG4	P33175
Q3TV70	P20263
Q9EQ20	P52825
Q9DB40	Q9CQ56
Q80Z68	P31750
P20693	O35604
D3Z5F7	O08750
Q62120	B1AUC4
Q9R008	B2RXA7
Q99J62	Q9JJA2
Q9D939	P62814
P48760	Q9WU40
Q6IMB2	P63280
P23813	Q8BMN3
A0A140LJK6	P47811
F7BJB9	Q9WTV6
Q8BW49	Q6PHZ8
P25799	D3YU81
Q68FH0	Q61144
Q9EST3	Q60750
P63141	Q7TNS7
Q8VHG2	Q99PM3
