P00968	P00907	9174345 11821039 15690043 11551199 10587438 10089390
P04273	P0A6F5	8676499
P02928	P07622	8411172
P0A8P6	P21891	9220013
P07001	P0AB67	15511529 2198073
P03702	P13458	2531105
P08394	P03702	2966143
P08394	P11191	2966143
P0A7H6	P15027	7962001
P02339	P15027	7962001
P0ABZ1	P25798	8604139
P09120	P0ABZ1	8604139
P06974	P15070	8604139
P00822	P00824	8645696 15690043 6995107 136256 10576729 2868692
P00832	P00837	8645696 136256 2868692 8910457 6995107 8621695 15690043
P00831	P00822	136256 2868692 1400447 2875734 9195980 8645696 6995107
P00824	P00831	6995107 8645696 1400447
P00831	P00837	10576729 8645696
P00832	P00831	8645696
P06974	P06974	8604139
P06974	P0ABZ1	8604139
P02378	P24169	7539334
P0A7P5	P24169	7539334
P03016	P15027	8962075
P03033	P03033	11551506 3896306
P23845	P21156	2828368
P10902	P11458	7033218
P09159	P09159	8132508
P07459	P07459	3304349
P07460	P07460	3304349
P07460	P07459	10625475 8144675 9917402 3304349
P06138	P77173	10880432 11278571 9008158 14663069
P00928	P0A879	9030553 9485448 373796 8797836
P00837	P00822	1400447 10576729 15690043
P00837	P68699	10576729 10567396 8910457
P00824	P00837	136256 1400447 10576729 2868692 6995107 15690043
P68699	P00831	10576729
P39180	P39180	10094691
P0AC73	P06864	1540130
P23721	P23721	10024454
P25437	P25437	1731906
P17547	P17547	2015910
P19926	P19926	2844729
P00561	P00561	4302 3896789
P10177	P10177	3136164
P28629	P28629	7016035
P07363	P0AE67	15522865 9437425 9636149 16176121
P00478	P00479	1303763
P00855	P68699	12525480 9618459
P07006	P08837	6411705 11060015
P0CE47	P02997	15690043
P0A9P4	P00274	8114095
P43528	P43529	8805549
P42190	P15319	10446050
P04475	P09372	8599944 2522091 15690043
P25845	P0A6F5	10647006
P00574	P00575	321015 10079080 14962387 9930997 7918430 7752238 10906130 11118218 15690043
P0A6F5	P00887	10647006
P0A6F5	P25665	10647006
P0AEZ1	P0A6F5	10647006
P0A6F5	P04384	10647006
P09151	P0A6F5	10647006
P0A6F5	P0A6J5	10647006
P0A6F5	P80063	10647006
P0A9P0	P0A6F5	10647006
P0A6F5	P37190	10647006
P0A6F5	P37191	10647006
P0A6F5	P37192	10647006 12071968
P0A6F5	P08324	10647006
P06977	P0A6F5	10647006
P0AF24	P0A6F5	10647006
P39184	P0A6F5	10647006
P37747	P0A6F5	10647006
P0A6F5	P14374	10647006
P21155	P0A6F5	10647006
P00479	P0A6F5	10647006
P0A6F5	P25532	10647006
P76422	P0A6F5	10647006
P30139	P0A6F5	10647006
P30140	P0A6F5	10647006
P12998	P0A6F5	10647006
P00575	P0A6F5	10647006
P08374	P0A6F5	10647006
P02392	P0A6F5	10647006
P02418	P0A6F5	10647006
P0A6F5	P0A7V0	10647006 15690043
P08312	P0A6F5	10647006
P07395	P0A6F5	10647006
P00961	P0A6F5	10647006
P0A6F5	P00955	10647006
P0A6F5	P03003	10647006
P16921	P0A6F5	10647006
P0A6F5	P25663	10647006
P0A6F5	P09097	10647006
P39407	P0A6F5	10647006
P00574	P11028	11866514 11866515
P03020	P0ACN7	9215632 8764393
P0ACN7	P0ACN7	8764393
P0CE47	P0A6F5	10647006
P0A6F5	P00893	10647006
P0A6F5	P00574	10647006
P07913	P0A6F5	10647006
P33138	P0A6F5	10647006
P09372	P0A6F5	10647006 19402753 15690043
P18197	P0A6F5	10647006
P07655	P0A6F5	10647006 15690043
P23887	P0A6F5	10647006
P23306	P0A6F5	10647006
P16525	P0ACB0	11493686
P0A6F5	P03017	10647006
